Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,1,0.6378378378378379,0.7215189873417721,[[58.2 26.8] [40.2 59.8]],logistic_lbfgs_invscaling_(100,)
0.3,1,0.6086486486486486,0.6810126582278481,[[70.6 14.4] [58.  42. ]],logistic_lbfgs_adaptive_(50,)
0.3,1,0.5643243243243243,0.6379746835443038,[[75.8  9.2] [71.4 28.6]],logistic_lbfgs_adaptive_(50, 50)
0.3,1,0.6378378378378379,0.7215189873417721,[[58.2 26.8] [40.2 59.8]],logistic_lbfgs_adaptive_(100,)
0.3,1,0.5545945945945946,0.5367088607594936,[[15.6 69.4] [13.  87. ]],logistic_sgd_constant_(50,)
0.3,1,0.4756756756756757,0.5063291139240507,[[61.6 23.4] [73.6 26.4]],logistic_sgd_constant_(50, 50)
0.3,1,0.492972972972973,0.5189873417721519,[[67.8 17.2] [76.6 23.4]],logistic_sgd_constant_(100,)
0.3,1,0.5243243243243243,0.5037974683544304,[[17. 68.] [20. 80.]],logistic_sgd_invscaling_(50,)
0.3,1,0.4756756756756757,0.5012658227848101,[[67.8 17.2] [79.8 20.2]],logistic_sgd_invscaling_(50, 50)
0.3,1,0.5405405405405406,0.5063291139240507,[[  0.  85.] [  0. 100.]],logistic_sgd_invscaling_(100,)
0.3,1,0.5351351351351352,0.5392405063291139,[[32.6 52.4] [33.6 66.4]],logistic_sgd_adaptive_(50,)
0.3,1,0.48540540540540544,0.4607594936708861,[[18.6 66.4] [28.8 71.2]],logistic_sgd_adaptive_(50, 50)
0.3,1,0.5394594594594595,0.5822784810126582,[[83.2  1.8] [83.4 16.6]],logistic_sgd_adaptive_(100,)
0.3,1,0.5783783783783784,0.6050632911392405,[[32. 53.] [25. 75.]],logistic_adam_constant_(50,)
0.3,1,0.5924324324324325,0.6379746835443039,[[45.  40. ] [35.4 64.6]],logistic_adam_constant_(50, 50)
0.3,1,0.5989189189189189,0.6658227848101266,[[52.  33. ] [41.2 58.8]],logistic_adam_constant_(100,)
0.3,1,0.5783783783783784,0.6050632911392405,[[32. 53.] [25. 75.]],logistic_adam_invscaling_(50,)
0.3,1,0.5924324324324325,0.6379746835443039,[[45.  40. ] [35.4 64.6]],logistic_adam_invscaling_(50, 50)
0.3,1,0.5989189189189189,0.6658227848101266,[[52.  33. ] [41.2 58.8]],logistic_adam_invscaling_(100,)
0.3,1,0.5783783783783784,0.6050632911392405,[[32. 53.] [25. 75.]],logistic_adam_adaptive_(50,)
0.3,1,0.5924324324324325,0.6379746835443039,[[45.  40. ] [35.4 64.6]],logistic_adam_adaptive_(50, 50)
0.3,1,0.5989189189189189,0.6658227848101266,[[52.  33. ] [41.2 58.8]],logistic_adam_adaptive_(100,)
0.3,1,0.5740540540540541,0.6329113924050633,[[80.6  4.4] [74.4 25.6]],tanh_lbfgs_constant_(50,)
0.3,1,0.5762162162162162,0.6253164556962025,[[77.2  7.8] [70.6 29.4]],tanh_lbfgs_constant_(50, 50)
0.3,1,0.6367567567567568,0.7240506329113924,[[61.2 23.8] [43.4 56.6]],tanh_lbfgs_constant_(100,)
0.3,1,0.5740540540540541,0.6329113924050633,[[80.6  4.4] [74.4 25.6]],tanh_lbfgs_invscaling_(50,)
0.3,1,0.5762162162162162,0.6253164556962025,[[77.2  7.8] [70.6 29.4]],tanh_lbfgs_invscaling_(50, 50)
0.3,1,0.6367567567567568,0.7240506329113924,[[61.2 23.8] [43.4 56.6]],tanh_lbfgs_invscaling_(100,)
0.3,1,0.5740540540540541,0.6329113924050633,[[80.6  4.4] [74.4 25.6]],tanh_lbfgs_adaptive_(50,)
0.3,1,0.5762162162162162,0.6253164556962025,[[77.2  7.8] [70.6 29.4]],tanh_lbfgs_adaptive_(50, 50)
0.3,1,0.6367567567567568,0.7240506329113924,[[61.2 23.8] [43.4 56.6]],tanh_lbfgs_adaptive_(100,)
0.3,1,0.5135135135135136,0.5417721518987342,[[49.6 35.4] [54.6 45.4]],tanh_sgd_constant_(50,)
0.3,1,0.5513513513513514,0.5848101265822785,[[72.8 12.2] [70.8 29.2]],tanh_sgd_constant_(50, 50)
0.3,1,0.4918918918918919,0.47848101265822784,[[34.4 50.6] [43.4 56.6]],tanh_sgd_constant_(100,)
0.3,1,0.5156756756756757,0.5392405063291139,[[47.4 37.6] [52.  48. ]],tanh_sgd_invscaling_(50,)
0.3,1,0.5243243243243243,0.5012658227848101,[[17. 68.] [20. 80.]],tanh_sgd_invscaling_(50, 50)
0.3,1,0.49945945945945946,0.4835443037974684,[[34.  51. ] [41.6 58.4]],tanh_sgd_invscaling_(100,)
0.3,1,0.5545945945945946,0.569620253164557,[[31.  54. ] [28.4 71.6]],tanh_sgd_adaptive_(50,)
0.3,1,0.56,0.6025316455696202,[[80.2  4.8] [76.6 23.4]],tanh_sgd_adaptive_(50, 50)
0.3,1,0.4972972972972973,0.49620253164556966,[[40.4 44.6] [48.4 51.6]],tanh_sgd_adaptive_(100,)
0.3,1,0.5881081081081081,0.6303797468354431,[[41.  44. ] [32.2 67.8]],tanh_adam_constant_(50,)
0.3,1,0.5675675675675675,0.6329113924050633,[[49.8 35.2] [44.8 55.2]],tanh_adam_constant_(50, 50)
0.3,1,0.6572972972972972,0.6987341772151899,[[69.4 15.6] [47.8 52.2]],tanh_adam_constant_(100,)
0.3,1,0.5881081081081081,0.6303797468354431,[[41.  44. ] [32.2 67.8]],tanh_adam_invscaling_(50,)
0.3,1,0.5675675675675675,0.6329113924050633,[[49.8 35.2] [44.8 55.2]],tanh_adam_invscaling_(50, 50)
0.3,1,0.6572972972972972,0.6987341772151899,[[69.4 15.6] [47.8 52.2]],tanh_adam_invscaling_(100,)
0.3,1,0.5881081081081081,0.6303797468354431,[[41.  44. ] [32.2 67.8]],tanh_adam_adaptive_(50,)
0.3,1,0.5675675675675675,0.6329113924050633,[[49.8 35.2] [44.8 55.2]],tanh_adam_adaptive_(50, 50)
0.3,1,0.6572972972972972,0.6987341772151899,[[69.4 15.6] [47.8 52.2]],tanh_adam_adaptive_(100,)
0.3,1,0.5427027027027027,0.5316455696202532,[[51.2 33.8] [50.8 49.2]],relu_lbfgs_constant_(50,)
0.3,1,0.48540540540540544,0.5392405063291139,[[81.8  3.2] [92.   8. ]],relu_lbfgs_constant_(50, 50)
0.3,1,0.47675675675675677,0.5063291139240507,[[85.   0. ] [96.8  3.2]],relu_lbfgs_constant_(100,)
0.3,1,0.5427027027027027,0.5316455696202532,[[51.2 33.8] [50.8 49.2]],relu_lbfgs_invscaling_(50,)
0.3,1,0.48540540540540544,0.5392405063291139,[[81.8  3.2] [92.   8. ]],relu_lbfgs_invscaling_(50, 50)
0.3,1,0.47675675675675677,0.5063291139240507,[[85.   0. ] [96.8  3.2]],relu_lbfgs_invscaling_(100,)
0.3,1,0.5427027027027027,0.5316455696202532,[[51.2 33.8] [50.8 49.2]],relu_lbfgs_adaptive_(50,)
0.3,1,0.48540540540540544,0.5392405063291139,[[81.8  3.2] [92.   8. ]],relu_lbfgs_adaptive_(50, 50)
0.3,1,0.47675675675675677,0.5063291139240507,[[85.   0. ] [96.8  3.2]],relu_lbfgs_adaptive_(100,)
0.3,1,0.5243243243243243,0.5037974683544304,[[17. 68.] [20. 80.]],relu_sgd_constant_(50,)
