Size,Ntrial,TestAcc,TrainAcc,ConfMatrix,Config
0.5,9,0.696969696969697,0.7651515151515151,[[48  8] [32 44]],1e-05
0.5,9,0.6893939393939394,0.7575757575757576,[[50  6] [35 41]],0.0001
0.8,0,0.7358490566037735,0.7156398104265402,[[20  3] [11 19]],1e-09
0.8,0,0.7169811320754716,0.7298578199052133,[[19  4] [11 19]],1e-08
0.8,0,0.7169811320754716,0.7251184834123223,[[19  4] [11 19]],1e-07
0.8,0,0.7169811320754716,0.7298578199052133,[[19  4] [11 19]],1e-06
0.8,0,0.7547169811320755,0.7156398104265402,[[20  3] [10 20]],1e-05
0.8,0,0.7735849056603774,0.7109004739336493,[[21  2] [10 20]],0.0001
0.8,1,0.7358490566037735,0.7156398104265402,[[26  0] [14 13]],1e-09
0.8,1,0.7169811320754716,0.7061611374407583,[[25  1] [14 13]],1e-08
0.8,1,0.6981132075471698,0.7109004739336493,[[24  2] [14 13]],1e-07
0.8,1,0.7547169811320755,0.7393364928909952,[[25  1] [12 15]],1e-06
0.8,1,0.7547169811320755,0.7203791469194313,[[25  1] [12 15]],1e-05
0.8,1,0.7358490566037735,0.7061611374407583,[[25  1] [13 14]],0.0001
0.8,2,0.7547169811320755,0.7156398104265402,[[19  3] [10 21]],1e-09
0.8,2,0.7169811320754716,0.7156398104265402,[[17  5] [10 21]],1e-08
0.8,2,0.7169811320754716,0.7156398104265402,[[17  5] [10 21]],1e-07
0.8,2,0.7547169811320755,0.7156398104265402,[[18  4] [ 9 22]],1e-06
0.8,2,0.7547169811320755,0.7109004739336493,[[19  3] [10 21]],1e-05
0.8,2,0.7547169811320755,0.7014218009478673,[[20  2] [11 20]],0.0001
0.8,3,0.6226415094339622,0.7535545023696683,[[16  3] [17 17]],1e-09
0.8,3,0.6415094339622641,0.7298578199052133,[[16  3] [16 18]],1e-08
0.8,3,0.6415094339622641,0.7345971563981043,[[16  3] [16 18]],1e-07
0.8,3,0.6226415094339622,0.7535545023696683,[[16  3] [17 17]],1e-06
0.8,3,0.660377358490566,0.7488151658767772,[[17  2] [16 18]],1e-05
0.8,3,0.6226415094339622,0.7488151658767772,[[17  2] [18 16]],0.0001
0.8,4,0.7924528301886793,0.7109004739336493,[[24  2] [ 9 18]],1e-09
0.8,4,0.7547169811320755,0.7061611374407583,[[22  4] [ 9 18]],1e-08
0.8,4,0.7547169811320755,0.7109004739336493,[[22  4] [ 9 18]],1e-07
0.8,4,0.7547169811320755,0.7251184834123223,[[22  4] [ 9 18]],1e-06
0.8,4,0.7547169811320755,0.7156398104265402,[[22  4] [ 9 18]],1e-05
0.8,4,0.7924528301886793,0.7014218009478673,[[24  2] [ 9 18]],0.0001
0.8,5,0.7169811320754716,0.7109004739336493,[[25  0] [15 13]],1e-09
0.8,5,0.7358490566037735,0.7061611374407583,[[23  2] [12 16]],1e-08
0.8,5,0.7358490566037735,0.7061611374407583,[[23  2] [12 16]],1e-07
0.8,5,0.7735849056603774,0.7156398104265402,[[23  2] [10 18]],1e-06
0.8,5,0.7547169811320755,0.7109004739336493,[[23  2] [11 17]],1e-05
0.8,5,0.7547169811320755,0.7061611374407583,[[24  1] [12 16]],0.0001
0.8,6,0.7547169811320755,0.7156398104265402,[[25  2] [11 15]],1e-09
0.8,6,0.7169811320754716,0.7061611374407583,[[22  5] [10 16]],1e-08
0.8,6,0.7358490566037735,0.7061611374407583,[[21  6] [ 8 18]],1e-07
0.8,6,0.7547169811320755,0.7061611374407583,[[22  5] [ 8 18]],1e-06
0.8,6,0.7547169811320755,0.7156398104265402,[[25  2] [11 15]],1e-05
0.8,6,0.7924528301886793,0.7061611374407583,[[26  1] [10 16]],0.0001
0.8,7,0.6226415094339622,0.7109004739336493,[[22  4] [16 11]],1e-09
0.8,7,0.660377358490566,0.7109004739336493,[[22  4] [14 13]],1e-08
0.8,7,0.660377358490566,0.7156398104265402,[[22  4] [14 13]],1e-07
0.8,7,0.6792452830188679,0.7393364928909952,[[22  4] [13 14]],1e-06
0.8,7,0.7169811320754716,0.7345971563981043,[[24  2] [13 14]],1e-05
